fid1,iid1,fid2,iid2,m,ibd0,ibd1,ibd2
AFWO3422,AFWO3422,AFWO3423,AFWO3423,20,1,0,0
AFWO3422,AFWO3422,AFWO3424,AFWO3424,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,AFWO3425,AFWO3425,4.23786383009889,0.894,0.106,0
AFWO3422,AFWO3422,AFWO3426,AFWO3426,20,1,0,0
AFWO3422,AFWO3422,AFWO3427,AFWO3427,20,1,0,0
AFWO3422,AFWO3422,AFWO3428,AFWO3428,20,1,0,0
AFWO3422,AFWO3422,AFWO3429,AFWO3429,20,1,0,0
AFWO3422,AFWO3422,AFWO3430,AFWO3430,20,1,0,0
AFWO3422,AFWO3422,AFWO3431,AFWO3431,20,1,0,0
AFWO3422,AFWO3422,AFWO3432,AFWO3432,4.23786383009889,0.894,0.106,0
AFWO3422,AFWO3422,AFWO3433,AFWO3433,20,1,0,0
AFWO3422,AFWO3422,AFWO3434,AFWO3434,20,1,0,0
AFWO3422,AFWO3422,AFWO3435,AFWO3435,1,0,1,0
AFWO3422,AFWO3422,AFWO3436,AFWO3436,20,1,0,0
AFWO3422,AFWO3422,AFWO3438,AFWO3438,20,1,0,0
AFWO3422,AFWO3422,AFWO3439,AFWO3439,20,1,0,0
AFWO3422,AFWO3422,AFWO3440,AFWO3440,20,1,0,0
AFWO3422,AFWO3422,AFWO3441,AFWO3441,20,1,0,0
AFWO3422,AFWO3422,AFWO3442,AFWO3442,20,1,0,0
AFWO3422,AFWO3422,AFWO3443,AFWO3443,20,1,0,0
AFWO3422,AFWO3422,AFWO3444,AFWO3444,20,1,0,0
AFWO3422,AFWO3422,AMAN031000,AMAN031000,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,AMAN031001,AMAN031001,20,1,0,0
AFWO3422,AFWO3422,AMAN031002,AMAN031002,20,1,0,0
AFWO3422,AFWO3422,AMAN031003,AMAN031003,20,1,0,0
AFWO3422,AFWO3422,AMAN031004,AMAN031004,20,1,0,0
AFWO3422,AFWO3422,AMAN031005,AMAN031005,20,1,0,0
AFWO3422,AFWO3422,AMAN031007,AMAN031007,20,1,0,0
AFWO3422,AFWO3422,AMAN031008,AMAN031008,20,1,0,0
AFWO3422,AFWO3422,AMAN031009,AMAN031009,20,1,0,0
AFWO3422,AFWO3422,AMAN031010,AMAN031010,20,1,0,0
AFWO3422,AFWO3422,AMAN031011,AMAN031011,20,1,0,0
AFWO3422,AFWO3422,AMAN031012,AMAN031012,20,1,0,0
AFWO3422,AFWO3422,AMAN031013,AMAN031013,20,1,0,0
AFWO3422,AFWO3422,AMAN031014,AMAN031014,20,1,0,0
AFWO3422,AFWO3422,AMAN031015,AMAN031015,20,1,0,0
AFWO3422,AFWO3422,AMAN031016,AMAN031016,20,1,0,0
AFWO3422,AFWO3422,AMAN031017,AMAN031017,20,1,0,0
AFWO3422,AFWO3422,AMAN031018,AMAN031018,20,1,0,0
AFWO3422,AFWO3422,AMAN031019,AMAN031019,20,1,0,0
AFWO3422,AFWO3422,AMAN031020,AMAN031020,20,1,0,0
AFWO3422,AFWO3422,AMHA1702,AMHA1702,20,1,0,0
AFWO3422,AFWO3422,AMHA1703,AMHA1703,20,1,0,0
